filename,num_columns,total_rows,read_time_ms,throughput_mrows_per_sec,i,num_columns
2333,2333,8,2.15518,0.00371198,1,2333
2333,2333,8,2.4203,0.00330538,2,2333
2333,2333,8,2.32148,0.00344607,3,2333
2333,2333,8,2.29444,0.00348669,4,2333
2333,2333,8,2.24751,0.00355949,5,2333
10,10,8,0.941649,0.00849573,1,10
10,10,8,0.824235,0.00970597,2,10
10,10,8,0.811599,0.00985708,3,10
10,10,8,0.988731,0.00809118,4,10
10,10,8,0.970234,0.00824543,5,10
20,20,8,1.00781,0.00793797,1,20
20,20,8,0.96044,0.00832952,2,20
20,20,8,0.855365,0.00935273,3,20
20,20,8,0.907672,0.00881376,4,20
20,20,8,0.825524,0.00969081,5,20
100,100,8,0.860904,0.00929256,1,100
100,100,8,0.864798,0.00925072,2,100
100,100,8,0.804363,0.00994576,3,100
100,100,8,0.95911,0.00834107,4,100
100,100,8,1.26512,0.00632353,5,100
1000,1000,8,1.45804,0.00548681,1,1000
1000,1000,8,1.44026,0.00555456,2,1000
1000,1000,8,1.41142,0.00566807,3,1000
1000,1000,8,1.3404,0.00596839,4,1000
1000,1000,8,1.6948,0.00472031,5,1000
5000,5000,8,3.64468,0.00219498,1,5000
5000,5000,8,3.54711,0.00225535,2,5000
5000,5000,8,3.73825,0.00214004,3,5000
5000,5000,8,3.34217,0.00239366,4,5000
5000,5000,8,3.60343,0.00222011,5,5000
10000,10000,8,5.86389,0.00136428,1,10000
10000,10000,8,5.83383,0.00137131,2,10000
10000,10000,8,5.80243,0.00137873,3,10000
10000,10000,8,5.84516,0.00136865,4,10000
10000,10000,8,5.77439,0.00138543,5,10000
20000,20000,8,10.4842,0.000763052,1,20000
20000,20000,8,10.0912,0.000792773,2,20000
20000,20000,8,10.215,0.00078316,3,20000
20000,20000,8,10.0939,0.000792558,4,20000
20000,20000,8,10.8388,0.000738092,5,20000
50000,50000,8,25.083,0.000318942,1,50000
50000,50000,8,24.6134,0.000325027,2,50000
50000,50000,8,23.5276,0.000340027,3,50000
50000,50000,8,24.0406,0.000332771,4,50000
50000,50000,8,23.4783,0.00034074,5,50000
100000,100000,8,48.15,0.000166147,1,100000
100000,100000,8,51.9084,0.000154118,2,100000
100000,100000,8,49.3504,0.000162106,3,100000
100000,100000,8,51.1167,0.000156505,4,100000
100000,100000,8,47.7535,0.000167527,5,100000
