filename,num_columns,total_rows,read_time_ms,throughput_mrows_per_sec,i,num_columns
2333,2333,8,16.088,0.000497265,1,2333
2333,2333,8,14.8507,0.000538697,2,2333
2333,2333,8,14.477,0.0005526,3,2333
2333,2333,8,13.9308,0.000574267,4,2333
2333,2333,8,13.8535,0.00057747,5,2333
10,10,8,1.02965,0.00776965,1,10
10,10,8,0.935842,0.00854845,2,10
10,10,8,1.14595,0.00698108,3,10
10,10,8,1.07225,0.00746092,4,10
10,10,8,0.955976,0.00836841,5,10
20,20,8,1.00292,0.00797668,1,20
20,20,8,1.11876,0.00715077,2,20
20,20,8,1.03151,0.00775564,3,20
20,20,8,1.00205,0.00798365,4,20
20,20,8,0.937951,0.00852923,5,20
100,100,8,1.30917,0.00611075,1,100
100,100,8,1.59313,0.00502157,2,100
100,100,8,1.33055,0.00601257,3,100
100,100,8,1.52009,0.00526286,4,100
100,100,8,1.58654,0.00504243,5,100
1000,1000,8,8.46674,0.000944874,1,1000
1000,1000,8,7.63565,0.00104772,2,1000
1000,1000,8,6.63692,0.00120538,3,1000
1000,1000,8,6.54359,0.00122257,4,1000
1000,1000,8,8.52119,0.000938837,5,1000
5000,5000,8,32.3383,0.000247384,1,5000
5000,5000,8,32.1608,0.00024875,2,5000
5000,5000,8,31.5601,0.000253485,3,5000
5000,5000,8,31.2527,0.000255978,4,5000
5000,5000,8,33.6449,0.000237777,5,5000
10000,10000,8,87.9941,9.09152e-05,1,10000
10000,10000,8,66.0864,0.000121054,2,10000
10000,10000,8,59.4002,0.00013468,3,10000
10000,10000,8,62.9958,0.000126993,4,10000
10000,10000,8,83.5182,9.57876e-05,5,10000
20000,20000,8,120.936,6.61507e-05,1,20000
20000,20000,8,118.293,6.76289e-05,2,20000
20000,20000,8,164.666,4.85833e-05,3,20000
20000,20000,8,130.142,6.14715e-05,4,20000
20000,20000,8,116.936,6.84137e-05,5,20000
50000,50000,8,302.546,2.64423e-05,1,50000
50000,50000,8,414.578,1.92967e-05,2,50000
50000,50000,8,412.454,1.93961e-05,3,50000
50000,50000,8,414.986,1.92778e-05,4,50000
50000,50000,8,300.33,2.66374e-05,5,50000
100000,100000,8,603.27,1.32611e-05,1,100000
100000,100000,8,600.478,1.33227e-05,2,100000
100000,100000,8,599.198,1.33512e-05,3,100000
100000,100000,8,600.709,1.33176e-05,4,100000
100000,100000,8,598.975,1.33561e-05,5,100000
