filename,total_rows,read_time_ms,throughput_mrows_per_sec,i
core,1000000,312.153,3.20356,1
bi,1000000,195.326,5.11965,1
classic,1000000,417.936,2.39271,1
geo,1000000,200.17,4.99574,1
log,1000000,117.076,8.54148,1
ml,1000000,119,8.40336,1
lineitem_duckdb_double,59986052,13862.9,4.3271,1
hits_8M,error,error,error,1
core,1000000,304.039,3.28906,2
bi,1000000,187.637,5.32944,2
classic,1000000,407.553,2.45367,2
geo,1000000,197.368,5.06669,2
log,1000000,114.323,8.74717,2
ml,1000000,117.12,8.53827,2
lineitem_duckdb_double,59986052,13796.9,4.34778,2
hits_8M,error,error,error,2
core,1000000,308.651,3.23991,3
bi,1000000,190.626,5.24587,3
classic,1000000,407.859,2.45182,3
geo,1000000,199.106,5.02244,3
log,1000000,115.7,8.64307,3
ml,1000000,117.054,8.54307,3
lineitem_duckdb_double,59986052,13898.8,4.31592,3
hits_8M,error,error,error,3
core,1000000,310.652,3.21904,4
bi,1000000,191.511,5.22163,4
classic,1000000,408.577,2.44752,4
geo,1000000,198.643,5.03416,4
log,1000000,114.795,8.7112,4
ml,1000000,116.599,8.57643,4
lineitem_duckdb_double,59986052,13925.1,4.30778,4
hits_8M,error,error,error,4
core,1000000,297.218,3.36454,5
bi,1000000,186.04,5.37519,5
classic,1000000,399.526,2.50297,5
geo,1000000,194.313,5.14635,5
log,1000000,113.301,8.82608,5
ml,1000000,115.684,8.6442,5
lineitem_duckdb_double,59986052,13604.5,4.40929,5
hits_8M,error,error,error,5
