loadSchema time: 0.033726 ms
barrier_ logger_ time: 0.069514 ms
Projecting columns: 
key
Reading /mnt/nvme0n1/xinyu/laion/nimble/merged_8M.nimble
loadSchema time: 0.005568 ms
barrier_ logger_ time: 0.011597 ms
streamStart: 53505500347 streamSize: 67058
streamStart: 53583506631 streamSize: 68112
streamStart: 53661535643 streamSize: 68295
streamStart: 53739545422 streamSize: 64597
streamStart: 53817568041 streamSize: 64861
streamStart: 53895589924 streamSize: 65666
streamStart: 53973610995 streamSize: 63481
streamStart: 54051619540 streamSize: 64901
streamStart: 54129645794 streamSize: 64878
streamStart: 54207671463 streamSize: 63233
streamStart: 54285766728 streamSize: 68576
streamStart: 54363772190 streamSize: 68640
streamStart: 54441793218 streamSize: 62220
streamStart: 54519791703 streamSize: 66791
streamStart: 54597785249 streamSize: 67002
streamStart: 54675800008 streamSize: 62802
streamStart: 54753796741 streamSize: 67095
streamStart: 54831907058 streamSize: 67407
streamStart: 54909987847 streamSize: 65504
streamStart: 54988001153 streamSize: 67767
streamStart: 55066026563 streamSize: 68325
streamStart: 55144049926 streamSize: 66027
streamStart: 55222057988 streamSize: 68637
streamStart: 55300171210 streamSize: 67579
streamStart: 55378268524 streamSize: 65055
streamStart: 55456282926 streamSize: 67904
streamStart: 55534298340 streamSize: 67925
streamStart: 55612403162 streamSize: 64200
streamStart: 55690470980 streamSize: 65906
streamStart: 55768483568 streamSize: 66035
streamStart: 55846457742 streamSize: 63806
streamStart: 55924482015 streamSize: 68535
streamStart: 56002510460 streamSize: 68693
streamStart: 56080460363 streamSize: 65161
streamStart: 56158460743 streamSize: 66927
streamStart: 56236531852 streamSize: 67120
streamStart: 56314552268 streamSize: 66654
streamStart: 56392654131 streamSize: 63694
streamStart: 56470647465 streamSize: 64807
streamStart: 56548633611 streamSize: 68321
streamStart: 56626671538 streamSize: 67725
streamStart: 56704710398 streamSize: 61848
streamStart: 56782712154 streamSize: 65742
streamStart: 56860807459 streamSize: 66183
streamStart: 56938828638 streamSize: 60974
streamStart: 57016919675 streamSize: 65382
streamStart: 57095005213 streamSize: 65628
streamStart: 57173040842 streamSize: 64681
streamStart: 57251056298 streamSize: 68436
streamStart: 57329087419 streamSize: 68533
streamStart: 57407185821 streamSize: 65544
streamStart: 57485184532 streamSize: 67652
streamStart: 57563229749 streamSize: 66775
streamStart: 57641241511 streamSize: 65650
streamStart: 57719237921 streamSize: 68620
streamStart: 57797236621 streamSize: 68663
streamStart: 57875249868 streamSize: 66558
streamStart: 57953349260 streamSize: 68713
streamStart: 58031367114 streamSize: 69476
streamStart: 58109455200 streamSize: 66273
streamStart: 58187549671 streamSize: 68662
streamStart: 58265558443 streamSize: 69410
streamStart: 58343534338 streamSize: 66466
streamStart: 58421542593 streamSize: 68252
streamStart: 58499658293 streamSize: 69259
streamStart: 58577675284 streamSize: 66999
streamStart: 58655774889 streamSize: 67410
streamStart: 58733776856 streamSize: 67885
streamStart: 58811793688 streamSize: 66946
streamStart: 58889796708 streamSize: 69344
streamStart: 58967804615 streamSize: 68814
streamStart: 59045819327 streamSize: 67704
streamStart: 59123836939 streamSize: 67835
