scheme,size,comp_time,target,profile,compr,i
pco,248409,.090053710,wasm32-wasip1,release,none,1
pco,248409,.087679707,wasm32-wasip1,release,none,2
pco,248409,.082628610,wasm32-wasip1,release,none,3
pco,248409,.084659408,wasm32-wasip1,release,none,4
pco,248409,.082583523,wasm32-wasip1,release,none,5
pco,72935,.088582434,wasm32-wasip1,release,zstd,1
pco,72935,.091706984,wasm32-wasip1,release,zstd,2
pco,72935,.086686907,wasm32-wasip1,release,zstd,3
pco,72935,.088728864,wasm32-wasip1,release,zstd,4
pco,72935,.085787963,wasm32-wasip1,release,zstd,5
lz4,129229,.065209268,wasm32-wasip1,release,none,1
lz4,129229,.065087223,wasm32-wasip1,release,none,2
lz4,129229,.065047542,wasm32-wasip1,release,none,3
lz4,129229,.061766704,wasm32-wasip1,release,none,4
lz4,129229,.065487658,wasm32-wasip1,release,none,5
lz4,46738,.065123900,wasm32-wasip1,release,zstd,1
lz4,46738,.067226462,wasm32-wasip1,release,zstd,2
lz4,46738,.066854583,wasm32-wasip1,release,zstd,3
lz4,46738,.065676197,wasm32-wasip1,release,zstd,4
lz4,46738,.063939630,wasm32-wasip1,release,zstd,5
flsbp,373704,.105746630,wasm32-wasip1,release,none,1
flsbp,373704,.102387667,wasm32-wasip1,release,none,2
flsbp,373704,.102839170,wasm32-wasip1,release,none,3
flsbp,373704,.099731043,wasm32-wasip1,release,none,4
flsbp,373704,.101927280,wasm32-wasip1,release,none,5
flsbp,96931,.107115530,wasm32-wasip1,release,zstd,1
flsbp,96931,.102971473,wasm32-wasip1,release,zstd,2
flsbp,96931,.104102218,wasm32-wasip1,release,zstd,3
flsbp,96931,.110294269,wasm32-wasip1,release,zstd,4
flsbp,96931,.104810113,wasm32-wasip1,release,zstd,5
fff,13197667,.811328180,wasm32-wasip1,release,none,1
fff,13197667,.793118024,wasm32-wasip1,release,none,2
fff,13197667,.797932837,wasm32-wasip1,release,none,3
fff,13197667,.798924111,wasm32-wasip1,release,none,4
fff,13197667,.819553528,wasm32-wasip1,release,none,5
fff,1953860,.852858244,wasm32-wasip1,release,zstd,1
fff,1953860,.832871673,wasm32-wasip1,release,zstd,2
fff,1953860,.857077381,wasm32-wasip1,release,zstd,3
fff,1953860,.855590050,wasm32-wasip1,release,zstd,4
fff,1953860,.848679114,wasm32-wasip1,release,zstd,5
gzip,156111,.075192836,wasm32-wasip1,release,none,1
gzip,156111,.075609389,wasm32-wasip1,release,none,2
gzip,156111,.074842764,wasm32-wasip1,release,none,3
gzip,156111,.068865281,wasm32-wasip1,release,none,4
gzip,156111,.073246431,wasm32-wasip1,release,none,5
gzip,56934,.071835234,wasm32-wasip1,release,zstd,1
gzip,56934,.073532505,wasm32-wasip1,release,zstd,2
gzip,56934,.074092232,wasm32-wasip1,release,zstd,3
gzip,56934,.071859569,wasm32-wasip1,release,zstd,4
gzip,56934,.073211683,wasm32-wasip1,release,zstd,5
zstd,392180,.121773567,wasm32-wasip1,release,none,1
zstd,392180,.123486560,wasm32-wasip1,release,none,2
zstd,392180,.116102690,wasm32-wasip1,release,none,3
zstd,392180,.120526450,wasm32-wasip1,release,none,4
zstd,392180,.121485000,wasm32-wasip1,release,none,5
zstd,115361,.124625086,wasm32-wasip1,release,zstd,1
zstd,115361,.120241027,wasm32-wasip1,release,zstd,2
zstd,115361,.117003932,wasm32-wasip1,release,zstd,3
zstd,115361,.120301904,wasm32-wasip1,release,zstd,4
zstd,115361,.123352486,wasm32-wasip1,release,zstd,5
pco,141228,.092644924,wasm32-wasip1,opt-size,none,1
pco,141228,.091236940,wasm32-wasip1,opt-size,none,2
pco,141228,.091527390,wasm32-wasip1,opt-size,none,3
pco,141228,.092097796,wasm32-wasip1,opt-size,none,4
pco,141228,.093203418,wasm32-wasip1,opt-size,none,5
pco,43552,.093604254,wasm32-wasip1,opt-size,zstd,1
pco,43552,.093891805,wasm32-wasip1,opt-size,zstd,2
pco,43552,.093151301,wasm32-wasip1,opt-size,zstd,3
pco,43552,.094747694,wasm32-wasip1,opt-size,zstd,4
pco,43552,.091695975,wasm32-wasip1,opt-size,zstd,5
lz4,40094,.040909222,wasm32-wasip1,opt-size,none,1
lz4,40094,.041804464,wasm32-wasip1,opt-size,none,2
lz4,40094,.040998536,wasm32-wasip1,opt-size,none,3
lz4,40094,.040469824,wasm32-wasip1,opt-size,none,4
lz4,40094,.040627823,wasm32-wasip1,opt-size,none,5
lz4,12652,.040788355,wasm32-wasip1,opt-size,zstd,1
lz4,12652,.041793957,wasm32-wasip1,opt-size,zstd,2
lz4,12652,.043476441,wasm32-wasip1,opt-size,zstd,3
lz4,12652,.043754131,wasm32-wasip1,opt-size,zstd,4
lz4,12652,.041692792,wasm32-wasip1,opt-size,zstd,5
flsbp,221036,.113681717,wasm32-wasip1,opt-size,none,1
flsbp,221036,.109425736,wasm32-wasip1,opt-size,none,2
flsbp,221036,.110218421,wasm32-wasip1,opt-size,none,3
flsbp,221036,.109383488,wasm32-wasip1,opt-size,none,4
flsbp,221036,.110216188,wasm32-wasip1,opt-size,none,5
flsbp,60152,.112006250,wasm32-wasip1,opt-size,zstd,1
flsbp,60152,.110545609,wasm32-wasip1,opt-size,zstd,2
flsbp,60152,.110311742,wasm32-wasip1,opt-size,zstd,3
flsbp,60152,.111362500,wasm32-wasip1,opt-size,zstd,4
flsbp,60152,.112086406,wasm32-wasip1,opt-size,zstd,5
fff,4973162,.770605013,wasm32-wasip1,opt-size,none,1
fff,4973162,.790689835,wasm32-wasip1,opt-size,none,2
fff,4973162,.797484039,wasm32-wasip1,opt-size,none,3
fff,4973162,.815150454,wasm32-wasip1,opt-size,none,4
fff,4973162,.802485173,wasm32-wasip1,opt-size,none,5
fff,1002091,.798284594,wasm32-wasip1,opt-size,zstd,1
